nid,xx,xy,xz,vx,vy,vz,ns
1795,0.9311450236397055,-0.08582370849282459,0.35440546837139925,0.0802102677919164,0.9963103387301261,0.03052903339790487,GUI_Y
1801,0.9312112511462399,-0.08489733087244436,0.35445457952943576,0.07934380428116468,0.9963897044885273,0.030201283275012144,GUI_Y
1806,0.9311441829241383,-0.08582524189593022,0.35440730587848224,0.08021163911290774,0.99631020663923,0.03052974119306587,GUI_Y
1812,0.9312098436328166,-0.0848976090406198,0.35445821065469946,0.07934394621294882,0.9963896807871838,0.030201692339513236,GUI_Y
1817,0.9311464114658705,-0.08582370848295925,0.3544018220557898,0.08021038733211322,0.996310338730976,0.030528719295121822,GUI_Y
1823,0.9312090156334855,-0.08489897066584653,0.35446005978501266,0.07934515745394706,0.99638956476866,0.030202337802372515,GUI_Y
1828,0.9311427950399663,-0.0858252418959369,0.35441095228373376,0.08021151955628,0.9963102066392293,0.030530055305691705,GUI_Y
1834,0.9312112413605658,-0.08489746995653624,0.35445457192522295,0.07934393437701957,0.9963896926378649,0.030201332463919307,GUI_Y
1839,0.9314349481166078,-0.08582370848789861,0.3536427978743472,0.08023524232866569,0.9963103387305504,0.030463335783792525,GUI_Y
1840,0.9336909534131517,-0.04317360381783788,0.3554676405072905,0.04034842477663047,0.999067585268074,0.01536114203645738,GUI_Y
1866,0.9339699635664005,0.0,0.35735151763463463,0.0,1.0,0.0,GUI_Y
1960,0.9873898072394486,0.0,-0.15830782848502653,0.0,1.0,0.0,GUI_Y
2030,0.14691501736665377,0.9587098325559879,0.2434983257285879,-0.49527339420327476,0.28438610542793696,-0.8208707620776231,GUI_Y
2070,0.16149710806715525,0.0,0.9868731854123637,0.0,1.0,0.0,GUI_Y
2072,0.1586586555755658,0.0,0.9873334953352662,0.0,1.0,0.0,GUI_Y
2074,0.15849533436077834,0.0,0.9873597262324735,0.0,1.0,0.0,GUI_Y
2076,0.15849463178326142,0.0,0.9873598390130562,0.0,1.0,0.0,GUI_Y
2080,0.1543916723340684,0.0,0.9880097223782212,0.0,1.0,0.0,GUI_Y
2090,0.1572327897000743,0.0,0.9875615676215495,0.0,1.0,0.0,GUI_Y
2110,0.6361596064889306,0.0,0.7715574865632819,0.0,1.0,0.0,GUI_Y
2120,0.6290766398781409,0.001285381821828648,0.7773422212598515,-0.0008086043454273335,0.9999991738964449,-0.0009991823859754373,GUI_Y
2121,0.6307987804103955,0.001285381821828648,0.7759453888169772,-0.000810817955390799,0.9999991738964449,-0.0009973869214619864,GUI_Y
2122,0.6308081628625285,0.0012853183025831865,0.7759377614363556,-0.0008107899468763445,0.9999991739780894,-0.000997327830254214,GUI_Y
2123,0.6308062531779071,0.0012853183025831865,0.7759393139340932,-0.0008107874923217208,0.9999991739780894,-0.0009973298257096193,GUI_Y
2124,0.6308061469252934,0.0,0.7759404648562062,0.0,1.0,0.0,GUI_Y
2125,0.630808163135624,0.001285381821828648,0.7759377611091189,-0.0008108300157852101,0.9999991738964449,-0.0009973771169368637,GUI_Y
2130,0.6125387475471508,0.001285381821828648,0.7904395173237103,-0.0007873468216928034,0.9999991738964449,-0.0010160174261585157,GUI_Y
2150,0.6161683988619407,0.0,0.7876144388239161,0.0,1.0,0.0,GUI_Y
2160,0.8359347620736968,0.01612879363072581,0.548591774977359,-0.013484373279155356,0.9998699225479369,-0.00884927461721821,GUI_Y
2180,0.9749335280517593,0.03510123772430345,0.21971007940185946,-0.03424247505883206,0.9993837616802776,-0.007716851146894566,GUI_Y
2195,0.9725693496665692,0.02928032291615643,0.23076291465283666,-0.02848935973079175,0.9995712394271484,-0.006759710955650159,GUI_Y
2200,0.9735042336121669,0.03783850464214517,0.22551663953161863,-0.0368623427895314,0.9992838673602443,-0.008539327703087882,GUI_Y
2220,0.9723621155034562,0.025666867098214308,0.23206276794653183,-0.024965714102070144,0.9996705516985896,-0.005958287170915152,GUI_Y
2230,0.8552355345342446,-0.03418846959541474,-0.5171105578274808,0.029256297201309338,0.9994154033967675,-0.017689559840348132,GUI_Y
2240,0.2345090975965418,-0.09704769148908879,-0.9672575813717327,0.022866502567848397,0.9952797323248568,-0.09431530885108705,GUI_Y
2250,0.23576555968151222,-0.13409451959520297,-0.9625140314211502,0.03190299992838765,0.9909685463295652,-0.13024415065958844,GUI_Y
2262,0.2299140871387963,-0.10510345450469313,-0.9675188765012877,0.024299351780345233,0.9944612932895779,-0.10225594189031331,GUI_Y
2264,0.2297016093186684,-0.1090972282057125,-0.96712717130388,0.02521028699115894,0.994031083416324,-0.10614446114608482,GUI_Y
2266,0.2296846072097342,-0.1091050469961479,-0.967130327272844,0.025210249373944362,0.9940302252547295,-0.10615250636011934,GUI_Y
2270,0.2410713472863224,-0.13484550330682502,-0.9610938017464717,0.032807025666504,0.9908666359495253,-0.13079376448817542,GUI_Y
